experiment,bootstrap_type,dataset,preprocessing,classifier,h_mean
fairboost,default,german,"LFR,Reweighing",Random Forest,"[0.7986677854431701, 0.830769123868399, 0.7706614656463789, 0.7872576720181613, 0.739577236690337, 0.805523535218402, 0.7449540445569347, 0.8256618598887407, 0.8514446433137305, 0.7213413474455772]"
fairboost,default,german,"LFR,OptimPreproc,Reweighing",Logistic Regression,"[0.8725714055883382, 0.8295196006017652, 0.8082563824008692, 0.8178266680374217, 0.7622429129333603, 0.8299181198326097, 0.8406699810743079, 0.8625832473501547, 0.8561386840710219, 0.7266107282252473]"
fairboost,default,german,"LFR,OptimPreproc,Reweighing",Random Forest,"[0.6097144450746241, 0.793321281710006, 0.8082296517689581, 0.789976632678144, 0.8146155299011858, 0.7807233903099504, 0.8167947706205174, 0.7849646651499519, 0.762665521104848, 0.6939253121036548]"
fairboost,custom,german,"LFR,OptimPreproc",Logistic Regression,"[0.860290722704084, 0.8264230498945889, 0.821619954508655, 0.846423537802331, 0.7597447949457994, 0.837549049509569, 0.809557876663328, 0.8500051712601361, 0.8474650387874866, 0.6884194643530743]"
fairboost,custom,german,"LFR,OptimPreproc",Random Forest,"[0.7109240276043917, 0.770545542439426, 0.771546936827747, 0.8154744585214329, 0.7301640838471293, 0.8062529606821413, 0.7756079343268858, 0.7035788144348194, 0.7552975015996922, 0.6321070659994142]"
fairboost,custom,german,"OptimPreproc,Reweighing",Logistic Regression,"[0.8391735833987709, 0.8278633164313068, 0.777670858757502, 0.847699148229496, 0.8013439043369516, 0.8686307002832777, 0.8491026541411417, 0.836050152026926, 0.8443187627447515, 0.8018243788865566]"
fairboost,custom,german,"OptimPreproc,Reweighing",Random Forest,"[0.6925362708936017, 0.5804205896105245, 0.7594265717855097, 0.8135243624337096, 0.7359760864313096, 0.7470798442583605, 0.5470362871301507, 0.7018669098953988, 0.6666666666666666, 0.641636534261367]"
fairboost,custom,german,"LFR,Reweighing",Logistic Regression,"[0.8485837510199324, 0.8296296296296297, 0.8851327032539291, 0.8434484576852097, 0.8053035470123813, 0.8502762038158409, 0.8732453180589632, 0.838528688074976, 0.85796560897348, 0.7569157667206876]"
fairboost,custom,german,"LFR,Reweighing",Random Forest,"[0.868532322230548, 0.7754551420394964, 0.7669254378046578, 0.8411169071571191, 0.6532724163505347, 0.810236458346532, 0.7904420196042168, 0.8477025029934522, 0.8587165464916479, 0.7717388399979253]"
fairboost,custom,german,"LFR,OptimPreproc,Reweighing",Logistic Regression,"[0.813658559252791, 0.7438210337712041, 0.8293250913947654, 0.841602862572092, 0.7977412021392452, 0.7209515876191288, 0.8436619411534937, 0.8378573534700458, 0.8283136561989666, 0.656225933821258]"
fairboost,custom,german,"LFR,OptimPreproc,Reweighing",Random Forest,"[0.8488234008132569, 0.7517268077996698, 0.8551347130027334, 0.8522073964804858, 0.6867542270882318, 0.7061883933550986, 0.50903310205501, 0.7817258883248731, 0.7671075330649799, 0.6335246289843338]"
ensemble,none,adult,No Preprocessing,Logistic Regression,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ensemble,none,adult,No Preprocessing,Random Forest,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ensemble,default,adult,No Preprocessing,Logistic Regression,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ensemble,default,adult,No Preprocessing,Random Forest,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ensemble,custom,adult,No Preprocessing,Logistic Regression,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ensemble,custom,adult,No Preprocessing,Random Forest,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
fairboost,none,adult,OptimPreproc,Logistic Regression,"[0.45010873559305686, 0.4494785682304878, 0.453433859173817, 0.4433723511028999, 0.4698150459794081, 0.4576505028336545, 0.4582039689478815, 0.4543188734020443, 0.4607918831629325, 0.45297673550010736]"
fairboost,none,adult,OptimPreproc,Random Forest,"[0.6089500629978459, 0.46250286300332594, 0.5010220032333758, 0.6091800723613902, 0.5181864175841235, 0.5345698012283322, 0.46895775749309293, 0.33269511139475183, 0.5267410447156033, 0.46390667039065214]"
fairboost,none,adult,LFR,Logistic Regression,"[0.547141173052435, 0.5229612190167138, 0.5174969118120339, 0.5406188003597168, 0.5365136759279863, 0.5412600669973188, 0.5422755194975076, 0.5267033694648101, 0.49868723958155864, 0.5971870120428017]"
fairboost,none,adult,LFR,Random Forest,"[0.5485399787659807, 0.5229612190167138, 0.44269525083385325, 0.5805094809579072, 0.5174051659432339, 0.47826932371244896, 0.5440518496243498, 0.5566561285202135, 0.49868723958155864, 0.534349561373861]"
fairboost,none,adult,Reweighing,Logistic Regression,"[0.5726277297368018, 0.5820360538852971, 0.5562224664248047, 0.5742735528088079, 0.5883471465489358, 0.57406838463226, 0.576799190298933, 0.5749148989054119, 0.5812122077367596, 0.5688251057932775]"
fairboost,none,adult,Reweighing,Random Forest,"[0.4625295154320837, 0.5456524271576305, 0.5684085782057108, 0.5807747636312195, 0.4506131227859113, 0.5824518906714434, 0.4540412926490937, 0.5635496317728687, 0.5210593884162911, 0.48028663254260284]"
fairboost,none,adult,"LFR,OptimPreproc",Logistic Regression,"[0.529195744498826, 0.46097715425399444, 0.4751992467371777, 0.4523232700594166, 0.46468355447662435, 0.5498593576431752, 0.4570259794821004, 0.4428616147820684, 0.5106501360152842, 0.46506938714191826]"
fairboost,none,adult,"LFR,OptimPreproc",Random Forest,"[0.4959413256820177, 0.32454630071227236, 0.4472140512203599, 0.4746805208339865, 0.48416121342951834, 0.32907335500150026, 0.5217537675197804, 0.5657504506310223, 0.47744790512562685, 0.5004341815526137]"
fairboost,none,adult,"OptimPreproc,Reweighing",Logistic Regression,"[0.4443666419366523, 0.45810201681140544, 0.42212579053986643, 0.4506351751611586, 0.47317348304008555, 0.45667447937240735, 0.45719968498728986, 0.45458710094117616, 0.4599993699267478, 0.4483619496487041]"
fairboost,none,adult,"OptimPreproc,Reweighing",Random Forest,"[0.3956107118631823, 0.4728633092717179, 0.4697869627528603, 0.5339031522382084, 0.49216489659942986, 0.4712168066686731, 0.4796793984169876, 0.2550399648695132, 0.4677346180616831, 0.43919778839579954]"
fairboost,none,adult,"LFR,Reweighing",Logistic Regression,"[0.547141173052435, 0.5229612190167138, 0.5283117668238777, 0.5406188003597168, 0.5365136759279863, 0.5412600669973188, 0.5422755194975076, 0.5267033694648101, 0.49868723958155864, 0.5775911226699748]"
fairboost,none,adult,"LFR,Reweighing",Random Forest,"[0.5485399787659807, 0.5255614130273146, 0.44269525083385325, 0.4524231428079376, 0.5396418644542078, 0.47726065567704995, 0.4742629699064343, 0.5484804849889438, 0.47557561715601526, 0.5293747809765709]"
fairboost,none,adult,"LFR,OptimPreproc,Reweighing",Logistic Regression,"[0.529195744498826, 0.46097715425399444, 0.4500296334588368, 0.4523232700594166, 0.46468355447662435, 0.5498593576431752, 0.4570259794821004, 0.4428616147820684, 0.5106501360152842, 0.4640551694804867]"
fairboost,none,adult,"LFR,OptimPreproc,Reweighing",Random Forest,"[0.4644363442605821, 0.15532006347670033, 0.4372244954040603, 0.44066477845591817, 0.44655052751545526, 0.3238839978425513, 0.5178901350381544, 0.49354160781535666, 0.47867339966281675, 0.4978837314953958]"
